Place,WeightClassKg,Division,Sex,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,Event,Equipment
2,56,Master 2,M,Vladimir Sadovnikov,1937,RUS,55.9,140,152.5,160,160,75,85,92.5,92.5,160,195,,195,397.5,SBD,Single-ply
1,60,Master 2,M,Roger Powell,1936,GBR,59.6,160,170,180,180,90,95,97.5,97.5,200,215,225,225,502.5,SBD,Single-ply
2,60,Master 2,M,Tapani Pulkkinen,1940,FIN,59.9,160,167.5,170,170,82.5,87.5,,87.5,170,180,187.5,187.5,437.5,SBD,Single-ply
3,60,Master 2,M,Ted Brown,1930,GBR,58.8,135,145,152.5,152.5,90,97.5,100,100,165,177.5,185,185,430,SBD,Single-ply
DQ,60,Master 2,M,Hiroaki Suzuki,1936,JPN,59.3,182.5,182.5,182.5,182.5,,,,,,,,,,SBD,Single-ply
1,67.5,Master 2,M,Mauri Lappalainen,1941,FIN,67.1,200,210,220,220,85,90,95,95,230,245,252.5,252.5,562.5,SBD,Single-ply
2,67.5,Master 2,M,Moegsin Philander,1943,RSA,65.8,175,195,195,195,130,135,140,140,180,205,215,215,520,SBD,Single-ply
3,67.5,Master 2,M,Horst Diter,1943,DEN,66.3,175,192.5,200,200,107.5,112.5,112.5,112.5,190,202.5,212.5,212.5,502.5,SBD,Single-ply
4,67.5,Master 2,M,Sam Alvenda,1942,USA,67,177.5,192.5,195,195,122.5,132.5,140,140,172.5,185,185,185,497.5,SBD,Single-ply
1,75,Master 2,M,Sven Öling,1943,FIN,74.2,220,230,230,230,145,150,150,150,220,230,230,230,585,SBD,Single-ply
2,75,Master 2,M,Ben Brent,1937,USA,73.8,215,227.5,235,235,105,105,110,110,247.5,265,265,265,580,SBD,Single-ply
3,75,Master 2,M,Masayuki Suzuki,1939,JPN,73.9,200,200,205,205,150,155,157.5,157.5,205,212.5,215,215,570,SBD,Single-ply
4,75,Master 2,M,Seppo Tiri,1939,FIN,74.4,190,197.5,200,200,137.5,142.5,145,145,210,220,230,230,555,SBD,Single-ply
5,75,Master 2,M,Alexander Semeneyev,1943,RUS,75,200,210,215,215,125,130,132.5,132.5,200,210,217.5,217.5,550,SBD,Single-ply
6,75,Master 2,M,Freddy Eriksson,1945,SWE,75,190,200,200,200,105,112.5,115,115,220,230,,230,525,SBD,Single-ply
7,75,Master 2,M,George Leggett,1929,GBR,74,135,192.5,197.5,197.5,100,107.5,110,110,200,210,215,215,520,SBD,Single-ply
8,75,Master 2,M,Freddy Nash,1943,RSA,73,185,200,200,200,125,130,130,130,180,195,195,195,490,SBD,Single-ply
